date,action,ticker,name,value,contraticker,contraname
1998-11-04,acquisitionof,CSCO,Cisco Systems Inc,115.5,SUMA,Summa Four Inc
1998-10-30,acquisitionof,DD,Dupont De Nemours Inc,1012.9,MYCO,Mycogen Corp
1998-10-29,acquisitionof,JNJ,Johnson & Johnson,3459.5,DPU1,Depuy Inc
1998-09-16,split,CSCO,Cisco Systems Inc,1.5,N/A,
1998-07-06,split,HD,Home Depot Inc,2.0,N/A,
1998-06-30,split,VZ,Verizon Communications Inc,2.0,N/A,
1998-06-15,split,JPM,Jpmorgan Chase & Co,2.0,N/A,
1998-05-12,split,TRV,Travelers Companies Inc,2.0,N/A,
1998-04-24,acquisitionof,TRV,Travelers Companies Inc,2788.6,FG1,Usf&G Corp
1998-02-23,split,MSFT,Microsoft Corp,2.0,N/A,
